CYCLE_STATUS,CYCLE_TYPE,CONSTRUCTION_STATUS,CONSTRUCTION_TYPE,CONSTRUCTION_REASON,CYCLE_WIDTH,GeoJSON
Bike Lane,Diamond Symbol,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[375054.4947,4897344.142],[375383.2666,4897362.8745]]}"
Bike Lane,Diamond Symbol,Constructed,Rehabilitation - Asphalt Overlay,2009 Project,,"{""type"":""LineString"",""coordinates"":[[376869.8317,4901572.8684],[376856.4536,4901558.3566],[376850.5581,4901550.6471],[376844.436,4901540.6703],[376837.4068,4901524.5712],[376834.9126,4901516.8618],[376831.5114,4901495.7744],[376824.9357,4901429.1107],[376820.4008,4901381.9473],[376817.4531,4901357.6854],[376814.9589,4901341.8131],[376809.0634,4901318.6849],[376803.6215,4901303.2661],[376797.0458,4901288.981],[376786.6155,4901269.4808],[376770.0629,4901245.8991],[376760.3128,4901234.1082],[376750.5627,4901222.7709],[376740.5858,4901213.4742],[376728.3415,4901203.0439],[376696.1434,4901178.1017],[376652.8347,4901145.4501],[376491.6117,4901022.4676]]}"
Bike Lane,Diamond Symbol,Constructed,Rehabilitation - Micro-Surfacing,2012 Project,,"{""type"":""LineString"",""coordinates"":[[373336.5703,4898399.0723],[373319.51,4898428.1208],[373302.2192,4898450.1377],[373281.355,4898470.7714],[373264.2492,4898484.0731],[373248.2154,4898495.0269],[373232.0228,4898504.5519],[373214.7191,4898512.6482],[373193.6053,4898520.9032],[373181.2227,4898524.7132],[373163.6624,4898529.9059],[373125.7379,4898537.8596]]}"
Bike Lane,Diamond Symbol,Constructed,Rehabilitation - Micro-Surfacing,2012 Project,,"{""type"":""LineString"",""coordinates"":[[373080.3208,4898547.5425],[373008.8522,4898562.5278],[372975.6539,4898569.5594],[372957.0951,4898574.5161],[372942.6861,4898579.127],[372927.5855,4898585.0059],[372912.8307,4898592.1527],[372895.849,4898601.5165],[372882.8315,4898610.5653],[372874.7352,4898616.7565],[372856.1615,4898632.949],[372846.7952,4898642.7916],[372837.4429,4898654.3995],[372830.1807,4898664.4282],[372821.8812,4898676.647],[372809.086,4898699.932],[372802.9766,4898712.266],[372798.8268,4898722.1794],[372791.9105,4898743.8506],[372789.2592,4898754.5708],[372784.6483,4898782.1208],[372782.1124,4898827.538],[372780.0375,4898910.649]]}"
Bike Lane,Diamond Symbol,Constructed,Rehabilitation - Micro-Surfacing,2012 Project,,"{""type"":""LineString"",""coordinates"":[[372778.6385,4898941.4437],[372774.9202,4899007.4888],[372770.7926,4899067.3376],[372763.7685,4899210.9494],[372758.0049,4899318.037]]}"
Bike Lane,Diamond Symbol,Constructed,Rehabilitation - Micro-Surfacing,2012 Project,,"{""type"":""LineString"",""coordinates"":[[372758.0049,4899318.037],[372756.7328,4899360.0322],[372756.7328,4899371.9052]]}"
Bike Lane,Diamond Symbol,Constructed,Rehabilitation - Micro-Surfacing,2012 Project,,"{""type"":""LineString"",""coordinates"":[[372747.146,4899297.4947],[372749.9961,4899248.6801],[372755.4648,4899163.667],[372759.442,4899094.2314],[372760.2706,4899067.8823],[372761.4398,4899039.4009],[372763.0536,4899010.5829],[372766.2812,4898939.806]]}"
Bike Lane,Diamond Symbol,Constructed,Rehabilitation - Micro-Surfacing,2012 Project,,"{""type"":""LineString"",""coordinates"":[[372767.7034,4898909.9574],[372768.8398,4898885.0174],[372771.3255,4898827.182],[372773.4798,4898792.8785],[372774.8056,4898779.9526],[372779.4457,4898754.1006],[372785.0801,4898733.3859],[372790.383,4898718.8028],[372798.5032,4898700.4081],[372807.6177,4898682.6764],[372816.8978,4898668.4247],[372825.6809,4898656.3273],[372835.9553,4898643.2356],[372849.7099,4898628.6525],[372869.4303,4898610.5893],[372885.6706,4898598.6576],[372901.7452,4898588.5488],[372923.6199,4898577.4458],[372939.1974,4898571.3142],[372955.4377,4898565.5141],[372979.9639,4898559.5483],[373008.2759,4898553.3061],[373046.7767,4898542.4705],[373111.4442,4898528.5226]]}"
Bike Lane,Diamond Symbol,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[374461.4545,4897309.3276],[374468.4206,4897309.6701]]}"
Bike Lane,Diamond Symbol,Constructed,,,,"{""type"":""LineString"",""coordinates"":[[374495.7685,4897310.9582],[374648.5153,4897320.9693]]}"
